ID,Category,User Story,Expected Behavior,Test Method,Status,Error Found,Fixed
US-01,CLI,Single chart upload and analysis,App accepts one chart image and calls vision API returning full analysis report,Run main.py --chart single.png --asset GBPJPY=X,PASS,,
US-02,CLI,Multi-chart upload (5 TFs),App accepts 5+ chart images calls multi-chart vision path and shows Multi-TF breakdown table,Run main.py --chart 1d.png 4h.png 1h.png 15m.png 5m.png --asset GBPJPY=X,PASS,,
US-03,CLI,Any image format (JPG/PNG/WEBP),PIL converts any format to PNG before sending to API; if PIL missing native format is sent,Pass .jpg and .webp files and verify no format error,PASS,,
US-04,CLI,--no-news skips news and calendar,News and calendar steps are skipped and score uses news=0 and calendar=empty,Run with --no-news and verify no news/calendar API calls made,PASS,,
US-05,CLI,--export auto-names JSON file,With --export and no path JSON saved as ict_GBPJPY_YYYYMMDD_HHMMSS.json in current dir,Run with --export and verify file created with auto-generated name,PASS,,
US-06,CLI,--export with custom path,With --export /path/to/file.json JSON is saved at that exact path,Run with --export custom.json and verify correct path written,PASS,,
US-07,CLI,Missing chart file shows clear error,If chart file does not exist print red error and exit with code 1 without making any API calls,Run with --chart nonexistent.png and verify clean error + exit 1,PASS,,
US-08,CLI,Missing API key shows clear error,If ANTHROPIC_API_KEY not set in env print red error and exit with code 1,Run without .env and verify error message shown,PASS,,
US-09,Market,Live price fetched for GBPJPY,current_price is populated from yfinance 1-minute candle data (most recent close),Inspect market_data output for current_price being a non-null float,PASS,,
US-10,Market,PDH/PDL/PDC from previous day,pdh/pdl/pdc come from hist_daily.iloc[-2] which is yesterday's complete daily candle,Inspect market_data output for pdh/pdl/pdc and verify they match prior day,PASS,,
US-11,Market,Asian session range (00:00-08:00 UTC),asian_high/asian_low computed from 1M candles between 00:00 and 08:00 UTC today,Inspect market_data output for asian_high/asian_low being non-null,PASS,,
US-12,Market,London session range (07:00-10:00 UTC),london_high/london_low computed from 1M candles between 07:00 and 10:00 UTC today (3-hour window),Inspect market_data output; compare asian_range vs london_range to confirm different values,FAIL,BUG-01: market_data.py:41 uses hour=8 as London end time so London range is only 07:00-08:00 UTC (1 hour) instead of 07:00-10:00 UTC (3 hours),YES
US-13,Market,Intraday trend from 15M candles,trend_direction is bullish/bearish/neutral derived from comparing close of oldest vs newest of last 4 x 15M candles,Inspect market_data intraday_trend value and verify direction matches recent price action,PASS,,
US-14,News,RSS news fetched when NewsAPI fails,If NEWS_API_KEY is absent or NewsAPI returns error FXStreet and DailyFX RSS feeds used as fallback,Remove NEWS_API_KEY and run; verify news headlines still appear from RSS,PASS,,
US-15,News,Asset-specific filtering (GBP/JPY keywords),Headlines filtered by asset keywords so only GBP/JPY relevant news included in output,Inspect news headlines in output for GBPJPY; verify no EUR/USD-only headlines,PASS,,
US-16,Calendar,ForexFactory events filtered by asset currencies,fetch_calendar() receives GBP+JPY currencies for GBPJPY=X and returns only matching high-impact events,Inspect calendar events in output; verify no EUR/USD-only events shown,FAIL,BUG-02: main.py calls fetch_calendar() without target_currencies so ALL currencies returned instead of just GBP+JPY,YES
US-17,Calendar,Imminent event flagged within 2 hours,Events within 2 hours of current UTC time have imminent=True and has_imminent=True in calendar dict,Check calendar output around event times; verify IMMINENT flag appears,PASS,,
US-18,ICT Engine,HTF structure scoring (HH+HL vs LH+LL),Bullish HH+HL structure scores +25; bearish LH+LL scores -25; mixed scores partial,Run generate_bias() with mock bullish/bearish chart_data structures,PASS,,
US-19,ICT Engine,Draw on liquidity BSL draws up SSL draws down,BSL or equal highs present in draw_on_liquidity field scores +25 (bullish pull); SSL present scores -25 (bearish pull),Run generate_bias() with BSL and SSL test cases in draw_on_liquidity field,PASS,,
US-20,ICT Engine,Swept liquidity equals reversal signal,BSL swept in text scores -20 (bearish reversal); SSL swept scores +20 (bullish reversal from grab below),Run generate_bias() with 'swept' keyword combinations in draw_on_liquidity,PASS,,
US-21,ICT Engine,Premium/Discount scoring,Price in discount zone scores +15 as ideal buy area; price in premium zone scores -15 as ideal sell area,Run generate_bias() with premium_discount set to discount/premium/equilibrium,PASS,,
US-22,ICT Engine,FVG/OB price-relative scoring direction from position,Bearish FVG above price scores negative; bullish FVG below price scores positive — direction NOT from box color,Run generate_bias() with FVGs at various positions relative to current_price,PASS,,
US-23,ICT Engine,LTF CHoCH/BOS confirmation scoring,Bullish CHoCH/BOS on 5M/15M chart scores +10; bearish scores -10; none found scores 0,Run generate_bias() with mock 5M chart data containing CHoCH keywords,PASS,,
US-24,ICT Engine,Neutral when signals conflict,Score between -35 and +35 produces direction=NEUTRAL and no trade entry generated,Run generate_bias() with mixed conflicting signals; verify NEUTRAL direction,PASS,,
US-25,Trade,Confluence zone clustering 0.15% tolerance,FVGs and OBs whose midpoints are within 0.15% of current price merged into single zone; sorted by signal count,Run _build_confluence_zones() with test data having nearby and far zones,PASS,,
US-26,Trade,ENTER_NOW when price at POI,Claude returns ENTER_NOW action when current price is inside or touching a high-confluence OB/FVG,Full run when market price is inside FVG zone; verify action=ENTER_NOW in output,PASS,,
US-27,Trade,LIMIT_ORDER when zone within 40 pips,Claude returns LIMIT_ORDER with entry at zone edge when valid zone is within 40 pips of current price,Full run with zone < 40 pips away; verify LIMIT_ORDER action,PASS,,
US-28,Trade,WAIT_REVERSAL when zone over 40 pips away,Claude returns WAIT_REVERSAL with condition when all valid zones are more than 40 pips from current price,Full run with all zones > 40 pips away; verify WAIT_REVERSAL and wait_for condition,PASS,,
US-29,Trade,Session timing shows Bulgaria time EEST/EET auto,_session_context() uses ZoneInfo(Europe/Sofia) for automatic DST-aware local time; shows both UTC and Bulgaria times,Run _session_context() in winter and summer; verify EEST vs EET shown correctly,PASS,,
US-30,Trade,Finished sessions never suggested,Sessions already past for today are listed as finished; trade_time never references a completed killzone,Run app at 18:00 Bulgaria time; verify London and NY not suggested as upcoming,PASS,,
US-31,Trade,SL max 30 pips from entry,Prompt enforces SL is never more than 30 pips from entry price; Claude respects this hard limit,Inspect trade_setup SL distance in pips from entry in output,PASS,,
US-32,Trade,TP1 max 60 pips TP2 max 150 pips,Prompt enforces TP1 ≤ 60 pips and TP2 ≤ 150 pips from entry; Claude respects both limits,Inspect trade_setup TP1 and TP2 pip distances from entry in output,PASS,,
US-33,Trade,RR calculated correctly,rr1 = abs(entry-tp1) / abs(entry-sl) rounded to 1dp; rr2 = same formula with tp2,Verify rr1 and rr2 values match formula given entry/sl/tp1/tp2 numbers in output,PASS,,
US-34,Output,7-factor score breakdown panel,SCORE BREAKDOWN panel shows all 7 ICT factors (HTF Structure/Draw on Liq/Premium Discount/FVG-OB/LTF Conf/PDH-PDL/News) with weights,Run app; inspect SCORE BREAKDOWN panel for all 7 rows,PASS,,
US-35,Output,Confluences panel with strength stars,CONFLUENCES panel shows zones with price range colored by direction / Direction / Position marker / Signals / star rating,Run app with active FVGs and OBs; inspect CONFLUENCES panel output,PASS,,
US-36,Output,Trade decision banner action and timing,TRADE DECISION banner shows action icon (ENTER NOW / SET LIMIT ORDER / WAIT) plus Bulgaria-time timing,Run app; inspect TRADE DECISION panel for correct action label and time,PASS,,
US-37,Output,Multi-TF breakdown table only for multi-chart,MULTI-TIMEFRAME BREAKDOWN table appears when multiple charts provided; absent for single chart; includes P/D column,Run with 1 chart (table absent); run with 5 charts (table shows P/D per TF),FAIL,BUG-06: Multi-TF table in output.py has no premium_discount column making P/D invisible per timeframe,YES
US-38,Output,Pip display uses 0.01 for JPY pairs,_pip_diff() uses pip_size=0.01 for JPY pairs and 0.0001 for others; shown in SL/TP pip distance labels,Check pip calculation in output for GBPJPY=X vs EURUSD=X,PASS,,
US-39,Summary,Suggestions don't mention TFs already provided,If all key TFs present (1D/4H/1H/15M/5M) the prompt instructs Claude not to suggest adding more timeframes,Run with all 5 key TFs; verify suggestions don't say 'add 4H' or 'add 1D',PASS,,
US-40,Export,JSON export contains all new ICT fields,"chart_analysis section in JSON contains large_fvgs, premium_discount, draw_on_liquidity, displacement",Run with --export; open JSON and verify all 4 fields present in chart_analysis,FAIL,BUG-03: exporter.py chart_analysis dict missing large_fvgs and premium_discount and draw_on_liquidity and displacement,YES
US-41,Output,CHART ANALYSIS panel shows ICT fields,"CHART ANALYSIS panel shows Premium/Discount, Draw on Liquidity, Displacement rows",Run app; inspect CHART ANALYSIS panel for these three rows,FAIL,BUG-04: output.py CHART ANALYSIS panel has no rows for premium_discount/draw_on_liquidity/displacement,YES
US-42,Trade,Trade context includes premium/discount and draw-on-liquidity,Context dict sent to Claude for trade setup includes premium_discount/draw_on_liquidity/displacement fields,Inspect prompt logged to Claude; verify all 3 fields appear in JSON context,FAIL,BUG-05: trade_setup.py context dict missing premium_discount/draw_on_liquidity/displacement so Claude cannot use them for trade decisions,YES
US-43,Calendar,Calendar fetcher does not hang on blocked URL,fetch_calendar() uses HTTP timeout so blocked/slow ForexFactory URL fails fast with error rather than hanging,Run app; verify calendar step completes in under 6 seconds even if FF is blocked,FAIL,BUG-07: calendar_fetcher.py uses feedparser.parse(url) directly with no timeout so a blocked URL causes indefinite hang,YES
